         3538 function calls (3421 primitive calls) in 0.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:293(load_rows)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:314(load_row)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:821(get_value)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:252(contains_over_clause)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/connection.py:482(_check_connection_ok)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:1018(get_initial_alias)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py:152(get_prep_lookup)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:950(get_db_prep_save)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/dispatch/dispatcher.py:234(_live_receivers)
      5/2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:246(_contains_over_clause)
        9    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/utils.py:22(__getattr__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/lookups.py:328(get_prep_lookup)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/connection.py:169(closed)
        8    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1697(assemble_as_sql)
      6/3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:239(contains_aggregate)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/generators.py:234(_consume_notifies)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:1002(db_returning_fields)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2853(replace)
       19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/postgresql/operations.py:188(quote_name)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/subqueries.py:145(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/asgiref/sync.py:545(get_current_task)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:249(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:576(local_concrete_fields)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/ctypes/__init__.py:510(string_at)
       13    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:615(__eq__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:60(__init__)
      5/4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:285(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:862(_get_fields)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/manager.py:184(__get__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:179(__init__)
      146    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:2634(add_votes)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query_utils.py:213(_get_lookup)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:749(__del__)
       16    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/base.py:574(from_db)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2680(apply_defaults)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:2641(update_join_types)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:1894(trim_joins)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:1624(as_sql)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:1229(get_prep_value)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/lookups.py:80(get_prep_lookup)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:940(get_db_prep_value)
       11    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:554(<genexpr>)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/collections/__init__.py:608(update)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1721(<genexpr>)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:570(notifies)
        5    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:781(db_type_parameters)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/generators.py:106(_send)
      2/1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/abc.py:100(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:1769(db)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:1040(join)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1688(pre_save_val)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:230(socket)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/utils.py:36(__exit__)
      6/3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:245(contains_over_clause)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/enum.py:289(__call__)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_adapters_map.py:258(get_loader)
        2    0.000    0.000    0.000    0.000 {built-in method today}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:209(clone)
       19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/utils/tree.py:22(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1091(_setup_joins)
       70    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/base/base.py:647(validate_thread_sharing)
